,theme,url,img,lines,author
0,GRATITUDE,/inspirational-quotes/8157-start-each-day-with-a-positive-thought-and-a,https://assets.passiton.com/quotes/quote_artwork/8157/medium/20201123_monday_quote.jpg?1605830150,Start each day with a positive thought and a grateful heart.,<Author:0x00005558c608e9f8>
1,PERSISTENCE,/inspirational-quotes/7656-we-are-made-to-persist-thats-how-we-find-out,https://assets.passiton.com/quotes/quote_artwork/7656/medium/20201118_wednesday_quote.jpg?1605289394,We are made to persist. That's how we find out who we are.,<Author:0x00007fca654ba050>
2,PERSISTENCE,/inspirational-quotes/6248-this-i-do-know-beyond-any-reasonable-doubt,https://assets.passiton.com/quotes/quote_artwork/6248/medium/20201119_thursday_quote.jpg?1605289417,"This I do know beyond any reasonable doubt. Regardless of what you are doing, if you pump long enough, hard enough and enthusiastically enough, sooner or later the effort will bring forth the reward.",<Author:0x00007fca657dbbf8>
3,PERSISTENCE,/inspirational-quotes/5136-consider-the-postage-stamp-its-usefulness,https://assets.passiton.com/quotes/quote_artwork/5136/medium/20201120_friday_quote.jpg?1605289442,Consider the postage stamp: its usefulness consists in the ability to stick to one thing till it gets there.,<Author:0x00007fca657e5360>
4,PERSISTENCE,/inspirational-quotes/8156-the-most-essential-factor-is-persistence-the,https://assets.passiton.com/quotes/quote_artwork/8156/medium/20201117_tuesday_quote.jpg?1605289355,The most essential factor is persistence—the determination never to allow your energy or enthusiasm to be dampened by discouragement.,<Author:0x00007fca657f6db8>
5,PERSISTENCE,/inspirational-quotes/7917-persistence-can-change-failure-into,https://assets.passiton.com/quotes/quote_artwork/7917/medium/20201116_monday_quote.jpg?1605289330,Persistence can change failure into extraordinary achievement.,<Author:0x00007fca65800a98>
6,HOPE,/inspirational-quotes/8155-hope-sees-the-invisible-feels-the-intangible,https://assets.passiton.com/quotes/quote_artwork/8155/medium/20201113_friday_quote.jpg?1604688356,"Hope sees the invisible, feels the intangible, and achieves the impossible.",<Author:0x00007fca658128b0>
7,HOPE,/inspirational-quotes/4624-where-hope-grows-miracles-blossom,https://assets.passiton.com/quotes/quote_artwork/4624/medium/20201112_thursday_quote.jpg?1604688335,"Where hope grows, miracles blossom.",<Author:0x00007fca658230e8>
8,HOPE,/inspirational-quotes/8154-this-new-day-is-too-dear-with-its-hopes-and,https://assets.passiton.com/quotes/quote_artwork/8154/medium/20201111_wednesday_quote.jpg?1604688314,"This new day is too dear, with its hopes and invitations, to waste a moment on the yesterdays.",<Author:0x00007fca6582d430>
9,HOPE,/inspirational-quotes/8018-our-human-compassion-binds-us-the-one-to-the,https://assets.passiton.com/quotes/quote_artwork/8018/medium/20201109_monday_quote.jpg?1604688266,"Our human compassion binds us the one to the other - not in pity or patronizingly, but as human beings who have learnt how to turn our common suffering into hope for the future.",<Author:0x00007fca6583e410>
10,HOPE,/inspirational-quotes/8153-hope-is-a-passion-for-the-possible,https://assets.passiton.com/quotes/quote_artwork/8153/medium/20201110_tuesday_quote.jpg?1604688288,Hope is a passion for the possible. ,<Author:0x00007fca6584f648>
11,CIVILITY,/inspirational-quotes/8151-make-living-your-life-with-absolute-integrity,https://assets.passiton.com/quotes/quote_artwork/8151/medium/20201106_friday_quote.jpg?1604081299,Make living your life with absolute integrity and kindness your first priority.,<Author:0x00007fca658597b0>
12,CIVILITY,/inspirational-quotes/7715-practice-civility-toward-one-another-admire,https://assets.passiton.com/quotes/quote_artwork/7715/medium/20201105_thursday_quote.jpg?1604081275,"Practice civility toward one another. Admire and emulate ethical behavior wherever you find it. Apply a rigid standard of morality to your lives; and if, periodically, you fail as you surely will, ­adjust your lives, not the standards. ",<Author:0x00007fca6586be60>
13,CIVILITY,/inspirational-quotes/8152-dont-ever-forget-that-youre-a-citizen-of-this,https://assets.passiton.com/quotes/quote_artwork/8152/medium/20201104_wednesday_quote.jpg?1604081252,"Don't ever forget that you're a citizen of this world, and there are things you can do to lift the human spirit, things that are easy, things that are free, things that you can do every day: civility, respect, kindness, character.",<Author:0x00007fca65875370>
14,CIVILITY,/inspirational-quotes/7711-civility-is-the-art-and-act-of-caring-for-others,https://assets.passiton.com/quotes/quote_artwork/7711/medium/20201103_tuesday_quote.jpg?1604081224,Civility is the art and act of caring for others.,<Author:0x00007fca65886940>
15,CIVILITY,/inspirational-quotes/7712-genuine-tolerance-does-not-mean-ignoring,https://assets.passiton.com/quotes/quote_artwork/7712/medium/20201102_monday_quote.jpg?1604081195,Genuine tolerance does not mean ignoring differences as if differences made no difference. Genuine tolerance means engaging differences within a bond of civility and respect.,<Author:0x00007fca658963b8>
16,MAKING A DIFFERENCE,/inspirational-quotes/3493-you-must-be-the-change-you-wish-to-see-in-the,https://assets.passiton.com/quotes/quote_artwork/3493/medium/20201030_friday_quote.jpg?1603383782,You must be the change you wish to see in the world.,<Author:0x00007fca658a6f38>
17,MAKING A DIFFERENCE,/inspirational-quotes/8150-but-where-was-i-to-start-the-world-is-so-vast,https://assets.passiton.com/quotes/quote_artwork/8150/medium/20201029_thursday_quote.jpg?1603383758,"But where was I to start? The world is so vast, I shall start with the country I know best, my own. But my country is so very large. I had better start with my town. But my town too, is large. I had best start with my street. No: my home. No: my family. Never mind, I shall start with myself.",<Author:0x00007fca658b7478>
18,MAKING A DIFFERENCE,/inspirational-quotes/8149-each-one-of-us-can-make-a-difference-together,https://assets.passiton.com/quotes/quote_artwork/8149/medium/20201026_monday_quote.jpg?1603383688,Each one of us can make a difference. Together we make a change.,<Author:0x00007fca658c2080>
19,MAKING A DIFFERENCE,/inspirational-quotes/4128-in-this-life-we-cannot-always-do-great-things,https://assets.passiton.com/quotes/quote_artwork/4128/medium/20201028_wednesday_quote.jpg?1603383733,In this life we cannot always do great things. But we can do small things with great love.,<Author:0x00007fca658dc598>
20,MAKING A DIFFERENCE,/inspirational-quotes/6826-we-do-not-need-magic-to-transform-our-world-we,https://assets.passiton.com/quotes/quote_artwork/6826/medium/20201027_tuesday_quote.jpg?1603383711,We do not need magic to transform our world. We carry all the power we need inside ourselves already. We have the power to imagine better.,<Author:0x00007fca658eebf8>
21,HARD WORK,/inspirational-quotes/3752-the-only-place-success-comes-before-work-is-in,https://assets.passiton.com/quotes/quote_artwork/3752/medium/20201023_friday_quote_update.jpg?1602883670,The only place success comes before work is in the dictionary.,<Author:0x00007fca658ff908>
22,HARD WORK,/inspirational-quotes/7750-a-dream-doesnt-become-reality-through-magic-it,https://assets.passiton.com/quotes/quote_artwork/7750/medium/20201022_thursday_quote_update.jpg?1602883540,"A dream doesn't become reality through magic; it takes sweat, determination, and hard work.",<Author:0x00007fca65908f80>
23,HARD WORK,/inspirational-quotes/8147-work-hard-at-work-worth-doing,https://assets.passiton.com/quotes/quote_artwork/8147/medium/20201021_wednesday_quote.jpg?1602872491,Work hard at work worth doing. ,<Author:0x00007fca6591b888>
24,HARD WORK,/inspirational-quotes/8146-the-only-limit-to-the-height-of-your,https://assets.passiton.com/quotes/quote_artwork/8146/medium/20201020_tuesday_quote.jpg?1602872463,The only limit to the height of your achievements is the reach of your dreams and your willingness to work hard for them.,<Author:0x00007fca6592b008>
25,HARD WORK,/inspirational-quotes/4704-work-hard-be-kind-and-amazing-things-will,https://assets.passiton.com/quotes/quote_artwork/4704/medium/20201019_monday_quote.jpg?1602872415,"Work hard, be kind, and amazing things will happen.",<Author:0x00007fca6593b610>
26,SMILE,/inspirational-quotes/8145-if-you-see-someone-without-a-smile-give-them,https://assets.passiton.com/quotes/quote_artwork/8145/medium/20201016_friday_quote.jpg?1602195654,"If you see someone without a smile, give them one of yours.",<Author:0x00007fca65944fa8>
27,SMILE,/inspirational-quotes/8144-a-simple-smile-that-s-the-start-of-opening,https://assets.passiton.com/quotes/quote_artwork/8144/medium/20201015_thursday_quote.jpg?1602195631,A simple smile. That’s the start of opening your heart and being compassionate to others.,<Author:0x00007fca6595ce50>
28,SMILE,/inspirational-quotes/6258-a-smile-is-a-curve-that-sets-everything-straight,https://assets.passiton.com/quotes/quote_artwork/6258/medium/20201014_wednesday_quote.jpg?1602261766,A smile is a curve that sets everything straight. ,<Author:0x00007fca6597a4a0>
29,SMILE,/inspirational-quotes/7529-let-us-always-meet-each-other-with-smile-for,https://assets.passiton.com/quotes/quote_artwork/7529/medium/20201013_tuesday_quote_alt.jpg?1602262692,"Let us always meet each other with smile, for the smile is the beginning of love.",<Author:0x00007fca65995408>
30,SMILE,/inspirational-quotes/7044-what-sunshine-is-to-flowers-smiles-are-to,https://assets.passiton.com/quotes/quote_artwork/7044/medium/20201012_monday_quote_alt.jpg?1602261408,"What sunshine is to flowers, smiles are to humanity.",<Author:0x00007fca659b9790>
